x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Q102022253,Paul Morand,Uzbekistan,educated at,When did Paul Morand complete their education in Uzbekistan?,Did Paul Morand graduate summa cum laude from Uzbekistan?,When did Q102022253 complete their education in Uzbekistan?,Did Q102022253 graduate summa cum laude from Uzbekistan?
Jonas Bendorius,Jean-Baptiste Lully,Warsaw,educated at,When did Jean-Baptiste Lully complete their education in Warsaw?,Did Jean-Baptiste Lully graduate summa cum laude from Warsaw?,When did Jonas Bendorius complete their education in Warsaw?,Did Jonas Bendorius graduate summa cum laude from Warsaw?
Laurent Delpech,Peter Nadori,Prytane National Militaire,educated at,When did Peter Nadori complete their education in Prytane National Militaire?,Did Peter Nadori graduate summa cum laude from Prytane National Militaire?,When did Laurent Delpech complete their education in Prytane National Militaire?,Did Laurent Delpech graduate summa cum laude from Prytane National Militaire?
Ivn Guerrero Mena,Julian Assange,Chile,educated at,When did Julian Assange complete their education in Chile?,Did Julian Assange graduate summa cum laude from Chile?,When did Ivn Guerrero Mena complete their education in Chile?,Did Ivn Guerrero Mena graduate summa cum laude from Chile?
Redouane Ouadi,50 Cent,Cambridge,educated at,When did 50 Cent complete their education in Cambridge?,Did 50 Cent graduate summa cum laude from Cambridge?,When did Redouane Ouadi complete their education in Cambridge?,Did Redouane Ouadi graduate summa cum laude from Cambridge?
William S. Powell,Amy Clampitt,World War II,educated at,When did Amy Clampitt complete their education in World War II?,Did Amy Clampitt graduate summa cum laude from World War II?,When did William S. Powell complete their education in World War II?,Did William S. Powell graduate summa cum laude from World War II?
Khaled Pasha al-Oun,Sa'ad Al-Faqih,Istanbul,educated at,When did Sa'ad Al-Faqih complete their education in Istanbul?,Did Sa'ad Al-Faqih graduate summa cum laude from Istanbul?,When did Khaled Pasha al-Oun complete their education in Istanbul?,Did Khaled Pasha al-Oun graduate summa cum laude from Istanbul?
Kelebogile Champane,Albrecht Kossel,Australia,educated at,When did Albrecht Kossel complete their education in Australia?,Did Albrecht Kossel graduate summa cum laude from Australia?,When did Kelebogile Champane complete their education in Australia?,Did Kelebogile Champane graduate summa cum laude from Australia?
Eduardo Gatti,Bob Marley,Peru,educated at,When did Bob Marley complete their education in Peru?,Did Bob Marley graduate summa cum laude from Peru?,When did Eduardo Gatti complete their education in Peru?,Did Eduardo Gatti graduate summa cum laude from Peru?
Yardena Ovadia,Salvador Allende,Sofia,educated at,When did Salvador Allende complete their education in Sofia?,Did Salvador Allende graduate summa cum laude from Sofia?,When did Yardena Ovadia complete their education in Sofia?,Did Yardena Ovadia graduate summa cum laude from Sofia?
Giacomo Grandi,Franz Joseph Gall,Venice,educated at,When did Franz Joseph Gall complete their education in Venice?,Did Franz Joseph Gall graduate summa cum laude from Venice?,When did Giacomo Grandi complete their education in Venice?,Did Giacomo Grandi graduate summa cum laude from Venice?
mile Chenel,George Washington,Rennes,educated at,When did George Washington complete their education in Rennes?,Did George Washington graduate summa cum laude from Rennes?,When did mile Chenel complete their education in Rennes?,Did mile Chenel graduate summa cum laude from Rennes?
Vytautas Valeviius,George Washington,Moscow,educated at,When did George Washington complete their education in Moscow?,Did George Washington graduate summa cum laude from Moscow?,When did Vytautas Valeviius complete their education in Moscow?,Did Vytautas Valeviius graduate summa cum laude from Moscow?
Karl Storck,Ludwig Yehuda Wolpert,Italian,educated at,When did Ludwig Yehuda Wolpert complete their education in Italian?,Did Ludwig Yehuda Wolpert graduate summa cum laude from Italian?,When did Karl Storck complete their education in Italian?,Did Karl Storck graduate summa cum laude from Italian?
Andre Jarowiewitch Italinski,Marco Polo,Saint Petersburg,educated at,When did Marco Polo complete their education in Saint Petersburg?,Did Marco Polo graduate summa cum laude from Saint Petersburg?,When did Andre Jarowiewitch Italinski complete their education in Saint Petersburg?,Did Andre Jarowiewitch Italinski graduate summa cum laude from Saint Petersburg?
Katarzyna Marciszewska,Jimmy Wales,Warsaw University of Life Sciences,educated at,When did Jimmy Wales complete their education in Warsaw University of Life Sciences?,Did Jimmy Wales graduate summa cum laude from Warsaw University of Life Sciences?,When did Katarzyna Marciszewska complete their education in Warsaw University of Life Sciences?,Did Katarzyna Marciszewska graduate summa cum laude from Warsaw University of Life Sciences?
Sven Bingert,Jimmy Wales,Sweden,educated at,When did Jimmy Wales complete their education in Sweden?,Did Jimmy Wales graduate summa cum laude from Sweden?,When did Sven Bingert complete their education in Sweden?,Did Sven Bingert graduate summa cum laude from Sweden?
Miranta Sidera,Gautama Buddha,Greece,educated at,When did Gautama Buddha complete their education in Greece?,Did Gautama Buddha graduate summa cum laude from Greece?,When did Miranta Sidera complete their education in Greece?,Did Miranta Sidera graduate summa cum laude from Greece?
Alexander Acha,Bruce Springsteen,Boston,educated at,When did Bruce Springsteen complete their education in Boston?,Did Bruce Springsteen graduate summa cum laude from Boston?,When did Alexander Acha complete their education in Boston?,Did Alexander Acha graduate summa cum laude from Boston?
Hazel de Silva Mugot,George Washington,Kenya,educated at,When did George Washington complete their education in Kenya?,Did George Washington graduate summa cum laude from Kenya?,When did Hazel de Silva Mugot complete their education in Kenya?,Did Hazel de Silva Mugot graduate summa cum laude from Kenya?
Francesc d'A. Planas Doria,George W. Bush,City of Brussels,educated at,When did George W. Bush complete their education in City of Brussels?,Did George W. Bush graduate summa cum laude from City of Brussels?,When did Francesc d'A. Planas Doria complete their education in City of Brussels?,Did Francesc d'A. Planas Doria graduate summa cum laude from City of Brussels?
Jonas Bendorius,Felix Mendelssohn,Warsaw,educated at,When did Felix Mendelssohn complete their education in Warsaw?,Did Felix Mendelssohn graduate summa cum laude from Warsaw?,When did Jonas Bendorius complete their education in Warsaw?,Did Jonas Bendorius graduate summa cum laude from Warsaw?
Paul Jacquier,Pierre Clostermann,Prytane National Militaire,educated at,When did Pierre Clostermann complete their education in Prytane National Militaire?,Did Pierre Clostermann graduate summa cum laude from Prytane National Militaire?,When did Paul Jacquier complete their education in Prytane National Militaire?,Did Paul Jacquier graduate summa cum laude from Prytane National Militaire?
Giacomo Grandi,Theodor Ludwig Wilhelm von Bischoff,Venice,educated at,When did Theodor Ludwig Wilhelm von Bischoff complete their education in Venice?,Did Theodor Ludwig Wilhelm von Bischoff graduate summa cum laude from Venice?,When did Giacomo Grandi complete their education in Venice?,Did Giacomo Grandi graduate summa cum laude from Venice?
mile Chenel,Pertinax,Rennes,educated at,When did Pertinax complete their education in Rennes?,Did Pertinax graduate summa cum laude from Rennes?,When did mile Chenel complete their education in Rennes?,Did mile Chenel graduate summa cum laude from Rennes?
John Beecroft,Arthur Rimbaud,Africa,employer,When was Arthur Rimbaud working in Africa ?,Was Arthur Rimbaud working for Africa?,When was John Beecroft working in Africa ?,Was John Beecroft working for Africa?
Francisco Randez,Mary Jane Watson,Canada,employer,When was Mary Jane Watson working in Canada ?,Was Mary Jane Watson working for Canada?,When was Francisco Randez working in Canada ?,Was Francisco Randez working for Canada?
Marquis of Verboom,Francis Drake,Spain,employer,When was Francis Drake working in Spain ?,Was Francis Drake working for Spain?,When was Marquis of Verboom working in Spain ?,Was Marquis of Verboom working for Spain?
Clark S. Judge,Paul Johnson,United States of America,employer,When was Paul Johnson working in United States of America ?,Was Paul Johnson working for United States of America?,When was Clark S. Judge working in United States of America ?,Was Clark S. Judge working for United States of America?
Elsa Hosk,Magnus Uggla,Sweden,employer,When was Magnus Uggla working in Sweden ?,Was Magnus Uggla working for Sweden?,When was Elsa Hosk working in Sweden ?,Was Elsa Hosk working for Sweden?
Michele Moramarco,Rabindranath Tagore,Italy,employer,When was Rabindranath Tagore working in Italy ?,Was Rabindranath Tagore working for Italy?,When was Michele Moramarco working in Italy ?,Was Michele Moramarco working for Italy?
Alois Oswatitsch,Franz Defregger,Austria,employer,When was Franz Defregger working in Austria ?,Was Franz Defregger working for Austria?,When was Alois Oswatitsch working in Austria ?,Was Alois Oswatitsch working for Austria?
Sokratis K. Katsikas,Jimmy Wales,Greece,employer,When was Jimmy Wales working in Greece ?,Was Jimmy Wales working for Greece?,When was Sokratis K. Katsikas working in Greece ?,Was Sokratis K. Katsikas working for Greece?
Meg Young,Paul Otlet,New York City,employer,When was Paul Otlet working in New York City ?,Was Paul Otlet working for New York City?,When was Meg Young working in New York City ?,Was Meg Young working for New York City?
Wanda Alston,Klaus Wowereit,"Washington, D.C.",employer,"When was Klaus Wowereit working in Washington, D.C. ?","Was Klaus Wowereit working for Washington, D.C.?","When was Wanda Alston working in Washington, D.C. ?","Was Wanda Alston working for Washington, D.C.?"
Joseph Johnson,Barry Hatten,San Francisco,employer,When was Barry Hatten working in San Francisco ?,Was Barry Hatten working for San Francisco?,When was Joseph Johnson working in San Francisco ?,Was Joseph Johnson working for San Francisco?
Wolfmar Messlin,Jrgen Trittin,Berlin,employer,When was Jrgen Trittin working in Berlin ?,Was Jrgen Trittin working for Berlin?,When was Wolfmar Messlin working in Berlin ?,Was Wolfmar Messlin working for Berlin?
Roger Haug,Susan Blackmore,Los Angeles,employer,When was Susan Blackmore working in Los Angeles ?,Was Susan Blackmore working for Los Angeles?,When was Roger Haug working in Los Angeles ?,Was Roger Haug working for Los Angeles?
Ben Thompson,Yamur engl,Boeing,employer,When was Yamur engl working in Boeing ?,Was Yamur engl working for Boeing?,When was Ben Thompson working in Boeing ?,Was Ben Thompson working for Boeing?
Franz Georg Hey,Adolf Loos,Airbus,employer,When was Adolf Loos working in Airbus ?,Was Adolf Loos working for Airbus?,When was Franz Georg Hey working in Airbus ?,Was Franz Georg Hey working for Airbus?
Johann Sebastian Clais,Heinrich Schliemann,Bern,employer,When was Heinrich Schliemann working in Bern ?,Was Heinrich Schliemann working for Bern?,When was Johann Sebastian Clais working in Bern ?,Was Johann Sebastian Clais working for Bern?
Marianne Zogmal,Christoph Knoblauch,Geneva,employer,When was Christoph Knoblauch working in Geneva ?,Was Christoph Knoblauch working for Geneva?,When was Marianne Zogmal working in Geneva ?,Was Marianne Zogmal working for Geneva?
Anna Pia Maissen,Gottfried Wilhelm Leibniz,Zrich,employer,When was Gottfried Wilhelm Leibniz working in Zrich ?,Was Gottfried Wilhelm Leibniz working for Zrich?,When was Anna Pia Maissen working in Zrich ?,Was Anna Pia Maissen working for Zrich?
Mostafa Madbouly,Ban Ki-moon,Egypt,employer,When was Ban Ki-moon working in Egypt ?,Was Ban Ki-moon working for Egypt?,When was Mostafa Madbouly working in Egypt ?,Was Mostafa Madbouly working for Egypt?
Robert Boyle,Walter Heitler,London,employer,When was Walter Heitler working in London ?,Was Walter Heitler working for London?,When was Robert Boyle working in London ?,Was Robert Boyle working for London?
Ptolemy,Johannes Kepler,Alexandria,employer,When was Johannes Kepler working for Alexandria ?,Was Johannes Kepler working for Alexandria?,When was Ptolemy working in Alexandria ?,Was Ptolemy working for Alexandria?
Eleanor E. Breen,Thomas Jefferson,Alexandria,employer,When was Thomas Jefferson working for Alexandria ?,Was Thomas Jefferson working for Alexandria?,When was Eleanor E. Breen working in Alexandria ?,Was Eleanor E. Breen working for Alexandria?
William H. Johnson,Heinz Linge,Abraham Lincoln,employer,When was Heinz Linge working for Abraham Lincoln ?,Was Heinz Linge working for Abraham Lincoln?,When was William H. Johnson working in Abraham Lincoln ?,Was William H. Johnson working for Abraham Lincoln?
